Age,CabinNumber,CryoSleep,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_nan,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Destination_nan,FoodCourt,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_nan,PassengerId,RoomService,ShoppingMall,Side_S,Side_nan,Spa,Transported,VIP,VRDeck
46.0,757,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4620_01,0.0,0.0,1.0,0.0,0.0,0,0,0.0
12.0,1050,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6471_01,0.0,0.0,1.0,0.0,0.0,1,0,0.0
24.0,1043,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6436_01,552.0,0.0,1.0,0.0,231.0,1,0,0.0
28.0,1832,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,8892_01,0.0,496.0,0.0,0.0,318.0,0,0,0.0
7.0,377,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2347_03,0.0,0.0,0.0,0.0,0.0,0,0,0.0
30.0,799,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3872_01,0.0,0.0,0.0,0.0,0.0,1,0,0.0
29.0,862,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4592_03,0.0,0.0,1.0,0.0,0.0,1,0,0.0
11.0,191,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0925_02,0.0,0.0,0.0,0.0,0.0,1,0,0.0
6.0,546,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3405_03,0.0,0.0,1.0,0.0,0.0,0,0,0.0
4.0,166,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1086_03,0.0,0.0,0.0,0.0,0.0,0,0,0.0
18.0,109,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3370_01,2532.0,46.0,1.0,0.0,0.0,0,0,0.0
48.0,1585,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,7630_01,0.0,115.0,0.0,0.0,1.0,0,0,645.0
34.0,261,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,89.0,0.0,0.0,0.0,1681_01,1.0,0.0,1.0,0.0,793.0,0,0,0.0
46.0,17,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1119.0,1.0,0.0,0.0,0528_01,0.0,0.0,0.0,0.0,3427.0,0,0,6595.0
32.0,14,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4651.0,1.0,0.0,0.0,0330_02,247.0,0.0,1.0,0.0,46.0,1,0,202.0
24.0,802,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4920_01,0.0,0.0,1.0,0.0,0.0,1,0,0.0
26.0,276,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,9061_01,887.0,15.0,1.0,0.0,148.0,0,0,0.0
25.0,1773,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8637_02,987.0,6221.0,0.0,0.0,141.0,1,0,0.0
23.0,720,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4410_01,27.0,32.0,1.0,0.0,725.0,0,0,0.0
13.0,714,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4392_01,38.0,0.0,1.0,0.0,733.0,0,0,0.0
37.0,789,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,886.0,0.0,0.0,0.0,4205_01,0.0,0.0,1.0,0.0,58.0,0,0,441.0
19.0,952,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5008_01,0.0,0.0,1.0,0.0,0.0,1,0,0.0
54.0,119,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3622_01,0.0,0.0,0.0,0.0,0.0,1,0,0.0
38.0,1027,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6330_01,0.0,0.0,1.0,0.0,0.0,1,0,0.0
7.0,1237,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6482_03,0.0,0.0,1.0,0.0,0.0,1,0,0.0
30.0,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1294_02,0.0,0.0,1.0,0.0,0.0,1,0,0.0
36.0,25,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0689_01,0.0,0.0,1.0,0.0,0.0,1,0,0.0
41.0,958,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5898_01,0.0,0.0,1.0,0.0,0.0,1,0,0.0
28.0,1266,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7828_01,0.0,0.0,1.0,0.0,0.0,0,0,0.0
32.0,525,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2558_02,0.0,0.0,0.0,0.0,0.0,1,0,0.0
25.0,1065,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,528.0,0.0,0.0,0.0,5221_01,0.0,8.0,0.0,0.0,153.0,0,0,0.0
26.0,195,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,1.0,0.0,0.0,5040_01,0.0,10424.0,1.0,0.0,1373.0,0,0,7218.0
48.0,431,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2191_01,0.0,0.0,1.0,0.0,0.0,1,0,0.0
15.0,242,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1255_02,0.0,0.0,1.0,0.0,0.0,1,0,0.0
22.0,983,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4830_01,0.0,0.0,0.0,0.0,19.0,0,0,785.0
6.0,706,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4302_01,0.0,0.0,0.0,0.0,0.0,1,0,0.0
40.0,574,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8776_01,0.0,286.0,1.0,0.0,6.0,1,0,570.0
25.0,60,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.0,0.0,0.0,0.0,1078_01,79.0,0.0,0.0,0.0,0.0,0,0,0.0
37.0,1372,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8405_01,0.0,1025.0,0.0,0.0,0.0,1,0,0.0
54.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1208.0,1.0,0.0,0.0,0097_01,0.0,0.0,1.0,0.0,3.0,0,0,637.0
15.0,1424,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8833_01,0.0,0.0,1.0,0.0,0.0,1,0,0.0
46.0,475,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2339_01,1290.0,57.0,0.0,0.0,0.0,0,0,0.0
25.0,724,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,4399_01,141.0,640.0,0.0,0.0,0.0,0,0,100.0
21.0,1023,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,5325_01,751.0,0.0,1.0,0.0,1.0,1,0,0.0
17.0,756,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4657_01,372.0,477.0,0.0,0.0,0.0,0,0,0.0
21.0,1248,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,6525_01,0.0,1540.0,1.0,0.0,80.0,0,0,512.0
26.0,187,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3452.0,1.0,0.0,0.0,4726_02,0.0,0.0,1.0,0.0,4.0,1,0,1960.0
16.0,1398,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8670_01,0.0,0.0,1.0,0.0,0.0,1,0,0.0
31.0,71,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0409_01,0.0,1116.0,1.0,0.0,2.0,0,0,0.0
26.0,51,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0314_01,386.0,74.0,0.0,0.0,0.0,0,0,1330.0
38.0,1702,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1144.0,0.0,1.0,0.0,8270_01,86.0,783.0,0.0,0.0,0.0,1,0,0.0
43.0,311,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4796_02,0.0,0.0,1.0,0.0,0.0,1,0,0.0
23.0,751,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,138.0,0.0,0.0,0.0,4607_01,0.0,4.0,0.0,0.0,412.0,0,0,220.0
29.0,969,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4763_01,298.0,888.0,0.0,0.0,5.0,1,0,0.0
9.0,1320,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6896_03,0.0,0.0,1.0,0.0,0.0,1,0,0.0
21.0,136,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0636_02,0.0,7.0,0.0,0.0,675.0,0,0,0.0
55.0,1039,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6434_01,0.0,0.0,0.0,0.0,0.0,1,0,0.0
26.0,255,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6633_01,0.0,0.0,1.0,0.0,0.0,1,0,0.0
19.0,161,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0776_01,0.0,1399.0,0.0,0.0,0.0,1,0,18.0
57.0,145,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0982_01,0.0,0.0,0.0,0.0,0.0,1,0,0.0
37.0,149,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4533_01,0.0,0.0,0.0,0.0,0.0,1,0,0.0
27.0,131,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4031_02,0.0,0.0,0.0,0.0,0.0,1,0,0.0
21.0,1464,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,7062_01,0.0,0.0,0.0,0.0,720.0,0,0,170.0
25.0,552,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,2907_01,0.0,2005.0,1.0,0.0,0.0,1,0,5.0
45.0,222,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2196.0,0.0,0.0,1.0,3761_01,824.0,385.0,0.0,0.0,19.0,1,0,1113.0
37.0,258,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7920.0,1.0,0.0,0.0,6779_01,0.0,270.0,1.0,0.0,1.0,1,0,322.0
49.0,188,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3991.0,1.0,0.0,0.0,5568_01,0.0,298.0,0.0,0.0,289.0,0,0,2740.0
20.0,1496,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9220_02,0.0,0.0,0.0,0.0,0.0,1,0,0.0
24.0,438,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1220.0,0.0,0.0,0.0,2232_02,0.0,0.0,1.0,0.0,140.0,0,0,0.0
22.0,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,335.0,1.0,0.0,0.0,6574_01,0.0,0.0,0.0,0.0,818.0,0,0,3014.0
42.0,317,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,594.0,0.0,0.0,0.0,1603_01,0.0,0.0,0.0,0.0,0.0,0,0,119.0
19.0,1711,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8828_01,0.0,0.0,1.0,0.0,0.0,1,1,1179.0
25.0,1695,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8759_01,520.0,139.0,1.0,0.0,0.0,0,0,77.0
11.0,475,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7156_04,0.0,0.0,1.0,0.0,0.0,1,0,0.0
29.0,145,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4463_02,0.0,0.0,0.0,0.0,0.0,1,0,0.0
35.0,246,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4514.0,1.0,0.0,0.0,6618_01,345.0,0.0,1.0,0.0,0.0,1,0,421.0
13.0,324,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8605_03,0.0,0.0,1.0,0.0,0.0,1,1,0.0
26.0,598,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,350.0,0.0,0.0,0.0,3169_01,207.0,74.0,1.0,0.0,0.0,1,0,3.0
35.0,336,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5362_01,0.0,0.0,0.0,0.0,0.0,1,0,0.0
24.0,328,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,201.0,0.0,0.0,0.0,1725_01,0.0,0.0,1.0,0.0,0.0,0,0,603.0
21.0,1171,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,7271_01,61.0,222.0,0.0,0.0,161.0,0,0,60.0
39.0,372,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,454.0,0.0,0.0,0.0,2317_01,0.0,0.0,1.0,0.0,454.0,0,0,0.0
46.0,283,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,8992_01,479.0,699.0,0.0,0.0,0.0,0,0,0.0
36.0,194,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0935_01,0.0,0.0,0.0,0.0,18.0,0,0,872.0
38.0,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506.0,0.0,0.0,1.0,2506_01,0.0,46.0,0.0,0.0,11001.0,0,0,5.0
7.0,92,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0615_02,0.0,0.0,1.0,0.0,0.0,1,0,0.0
42.0,142,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.0,1.0,0.0,0.0,3927_02,0.0,0.0,1.0,0.0,1313.0,1,0,1148.0
22.0,1257,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7818_01,0.0,0.0,0.0,0.0,0.0,0,0,0.0
14.0,593,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9239_01,2.0,918.0,0.0,0.0,128.0,0,0,0.0
8.0,655,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3995_04,0.0,0.0,0.0,0.0,0.0,0,0,0.0
27.0,798,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4945_01,0.0,0.0,0.0,0.0,0.0,1,0,0.0
6.0,499,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7507_02,0.0,0.0,1.0,0.0,0.0,1,0,0.0
25.0,1729,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,608.0,0.0,0.0,0.0,8433_01,341.0,2.0,0.0,0.0,2.0,1,0,16.0
22.0,81,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0447_01,9.0,795.0,1.0,0.0,0.0,1,0,0.0
25.0,238,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4929.0,1.0,0.0,0.0,6200_03,2026.0,0.0,1.0,0.0,1179.0,0,0,10270.0
21.0,728,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4464_01,0.0,0.0,1.0,0.0,0.0,0,0,0.0
35.0,1310,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6857_01,22.0,1179.0,1.0,0.0,0.0,0,0,33.0
34.0,127,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6229.0,1.0,0.0,0.0,3495_02,0.0,0.0,1.0,0.0,2279.0,1,0,587.0
41.0,278,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10049.0,1.0,0.0,0.0,7416_01,0.0,214.0,1.0,0.0,5287.0,0,1,1845.0
46.0,325,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5062_01,971.0,20.0,1.0,0.0,0.0,0,0,5.0
20.0,1007,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6225_01,1.0,0.0,0.0,0.0,32.0,0,0,875.0
35.0,250,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8031_01,0.0,0.0,0.0,0.0,0.0,1,0,0.0
41.0,269,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,8668_02,806.0,125.0,0.0,0.0,1008.0,0,0,0.0
35.0,142,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0765_01,1248.0,55.0,1.0,0.0,12.0,1,0,0.0
25.0,401,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2762.0,0.0,0.0,0.0,2491_01,2.0,552.0,1.0,0.0,0.0,0,0,1391.0
44.0,903,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4390_02,0.0,0.0,0.0,0.0,0.0,1,0,0.0
30.0,340,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5416_02,138.0,208.0,0.0,0.0,952.0,0,0,0.0
18.0,920,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5679_01,0.0,0.0,1.0,0.0,0.0,1,0,0.0
24.0,876,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4659_01,703.0,0.0,1.0,0.0,0.0,0,0,0.0
32.0,79,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0441_01,0.0,0.0,1.0,0.0,722.0,0,0,0.0
33.0,534,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8064_03,0.0,0.0,1.0,0.0,0.0,0,0,0.0
8.0,211,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1027_01,0.0,0.0,0.0,0.0,0.0,1,0,0.0
19.0,679,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4115_01,0.0,0.0,1.0,0.0,0.0,0,0,0.0
43.0,656,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3163_02,4.0,1834.0,0.0,0.0,1.0,0,0,66.0
55.0,525,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2558_03,403.0,922.0,0.0,0.0,0.0,1,0,0.0
24.0,65,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0460_01,0.0,0.0,1.0,0.0,0.0,1,0,0.0
64.0,342,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,700.0,0.0,0.0,1.0,5424_02,469.0,2.0,0.0,0.0,1.0,0,0,0.0
17.0,244,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7560_01,0.0,0.0,0.0,0.0,0.0,1,0,0.0
14.0,167,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5345_01,809.0,59.0,0.0,0.0,0.0,0,0,0.0
47.0,1866,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9110_01,0.0,16.0,0.0,0.0,3.0,0,0,854.0
11.0,953,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5880_01,0.0,0.0,0.0,0.0,0.0,1,0,0.0
47.0,153,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0994_01,0.0,0.0,1.0,0.0,0.0,0,0,0.0
64.0,180,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4668_01,0.0,0.0,1.0,0.0,0.0,1,0,0.0
34.0,1072,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6625_01,0.0,0.0,0.0,0.0,0.0,1,0,0.0
